################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.6478414016157142E-01 a         1     0     1     1     1
  5.1726889283550403E-01 a         2     0     1     1     2
  3.2247333655213944E-01 a         3     0     1     1     3
  2.5378942591671610E-01 a         4     0     1     1     4
  2.3627413575921161E-01 a         5     0     1     1     5
  1.7215305663471800E-01 a         6     0     1     1     6
  3.6556411213207812E-01 a         7     0     1     1     7
 -1.0013837650273569E-01 a         8     0     1     1     8
 -2.4519171667615808E-01 a         9     0     1     1     9
 -2.9477986503016490E-01 a        10     0     1     1    10
  1.5242302812422819E-02 a        11     0     1     1    11
  2.0836951353500968E-01 a        12     0     1     1    12
 -9.2006404656280030E-02 a        13     0     1     1    13
 -2.1940526714616884E-01 a        14     0     1     1    14
 -5.2786582625522431E-02 a        15     0     1     1    15
  1.8526511189342121E-01 a        16     0     1     1    16
 -5.9893869399461466E-02 a        17     0     1     1    17
  4.7394864067329023E-01 a        18     0     1     1    18
 -6.5251594214880540E-02 a        19     0     1     1    19
  1.3824110092736469E-01 a        20     0     1     1    20
  1.4176464102769723E-01 a        21     0     2     1     1
  1.9025415419122638E-01 a        22     0     2     1     2
  3.2272610427354609E-01 a        23     0     2     1     3
  3.1832190769365698E-01 a        24     0     2     1     4
  3.9879440885723771E-01 a        25     0     2     1     5
 -6.1896632037051480E-03 a        26     0     2     1     6
  4.3959036269869745E-02 a        27     0     2     1     7
 -1.1590688981720704E-01 a        28     0     2     1     8
 -1.7862295056561428E-01 a        29     0     2     1     9
 -1.3243283225364375E-01 a        30     0     2     1    10
 -3.4576475379296706E-01 a        31     0     2     1    11
  6.0430780946408547E-01 a        32     0     2     1    12
  5.0367356840090187E-02 a        33     0     2     1    13
 -3.4698101569714351E-01 a        34     0     2     1    14
 -2.3585649508655587E-01 a        35     0     2     1    15
 -1.9450712653708777E-01 a        36     0     2     1    16
  7.6508422186363179E-01 a        37     0     2     1    17
  4.5959538601358801E-01 a        38     0     2     1    18
 -2.6879921899473502E-01 a        39     0     2     1    19
 -1.7519872172180395E-01 a        40     0     2     1    20
 -2.1778799403602367E-01 a        41     0     3     1     1
  1.2547659381394091E-01 a        42     0     3     1     2
  6.1720554675923844E-01 a        43     0     3     1     3
  3.9690530418050179E-01 a        44     0     3     1     4
  1.0127201716324965E+00 a        45     0     3     1     5
  6.7435285599977957E-01 a        46     0     3     1     6
  6.0682607513813158E-01 a        47     0     3     1     7
 -6.7659734332123689E-01 a        48     0     3     1     8
 -1.1913658995846078E-01 a        49     0     3     1     9
 -2.9640124340515717E-02 a        50     0     3     1    10
  1.1534152320121643E-01 a        51     0     3     1    11
  1.1688686599933097E-01 a        52     0     3     1    12
  2.5677152264039516E-01 a        53     0     3     1    13
 -6.5248823893790620E-01 a        54     0     3     1    14
  5.8858019662157246E-01 a        55     0     3     1    15
  5.3185735495826680E-01 a        56     0     3     1    16
  7.1718325979415543E-01 a        57     0     3     1    17
  3.1853089400932449E-01 a        58     0     3     1    18
 -4.7418614268114792E-02 a        59     0     3     1    19
  6.8238945033487197E-01 a        60     0     3     1    20
 -3.2441561945494396E-01 a        61     0     4     1     1
 -3.4724281686012903E-01 a        62     0     4     1     2
 -1.8924112387952749E-01 a        63     0     4     1     3
 -2.1524552027715532E-01 a        64     0     4     1     4
 -5.0990925636649607E-02 a        65     0     4     1     5
  3.2025783362726462E-01 a        66     0     4     1     6
  1.7473983210140315E-01 a        67     0     4     1     7
 -9.1310567115073973E-02 a        68     0     4     1     8
  1.5570353026406183E-01 a        69     0     4     1     9
 -5.7820080041283674E-02 a        70     0     4     1    10
  2.9804438549545842E-01 a        71     0     4     1    11
 -2.0290221523736185E-01 a        72     0     4     1    12
 -6.7998617340623957E-02 a        73     0     4     1    13
 -3.0984892006321918E-01 a        74     0     4     1    14
  1.6878654882522801E-01 a        75     0     4     1    15
 -5.8817470011754455E-02 a        76     0     4     1    16
 -3.4601420158063040E-01 a        77     0     4     1    17
 -5.2465678155815279E-02 a        78     0     4     1    18
  1.2812901598995516E-01 a        79     0     4     1    19
 -9.5819111526538422E-02 a        80     0     4     1    20
 -2.2921611089499455E-01 a        81     0     5     1     1
 -4.1449190975964445E-01 a        82     0     5     1     2
 -4.2157645700615293E-01 a        83     0     5     1     3
 -1.8329685788022052E-02 a        84     0     5     1     4
 -1.2644853235788833E-01 a        85     0     5     1     5
  2.7183028177023927E-01 a        86     0     5     1     6
  2.7861625441752752E-01 a        87     0     5     1     7
  2.8341377897636749E-01 a        88     0     5     1     8
  1.5335312894589453E-01 a        89     0     5     1     9
 -2.3350686374608378E-02 a        90     0     5     1    10
  1.7493895861757192E-02 a        91     0     5     1    11
  2.8792609542786018E-01 a        92     0     5     1    12
  1.5345128107377676E-02 a        93     0     5     1    13
 -3.6204603982083050E-01 a        94     0     5     1    14
  5.1318076164617421E-02 a        95     0     5     1    15
 -3.5660534069915784E-01 a        96     0     5     1    16
 -2.3617057711496781E-01 a        97     0     5     1    17
 -2.9106372118486867E-01 a        98     0     5     1    18
 -1.1920349241969758E-01 a        99     0     5     1    19
 -4.3451961442617493E-01 a       100     0     5     1    20
 -3.3925454357509427E-01 a       101     0     6     1     1
 -3.5544805786182926E-01 a       102     0     6     1     2
 -2.1160114807803698E-01 a       103     0     6     1     3
 -1.2411299824694667E-01 a       104     0     6     1     4
  8.1795021619919459E-02 a       105     0     6     1     5
  4.9809500031680043E-01 a       106     0     6     1     6
  4.2823116338297851E-01 a       107     0     6     1     7
  8.6054559128553434E-02 a       108     0     6     1     8
  1.6568213755443401E-01 a       109     0     6     1     9
 -1.5988051789762076E-01 a       110     0     6     1    10
  1.8494922963325147E-01 a       111     0     6     1    11
  3.0274912641356766E-01 a       112     0     6     1    12
 -8.8088134345190208E-02 a       113     0     6     1    13
 -6.4618922638380372E-01 a       114     0     6     1    14
  6.3079493893732172E-02 a       115     0     6     1    15
 -2.9190507663823739E-01 a       116     0     6     1    16
 -2.1627136564857424E-01 a       117     0     6     1    17
  7.7898100144356233E-02 a       118     0     6     1    18
 -1.3429715877815546E-01 a       119     0     6     1    19
 -4.0852419672436141E-01 a       120     0     6     1    20
 -3.0193359792277819E-01 a       121     0     7     1     1
  2.3677681426875449E-01 a       122     0     7     1     2
 -4.3983028242711675E-01 a       123     0     7     1     3
  2.8331611310763827E-01 a       124     0     7     1     4
 -1.3605427511464294E-01 a       125     0     7     1     5
  4.1852085179714915E-01 a       126     0     7     1     6
 -4.2109359957683848E-02 a       127     0     7     1     7
  1.5219821365543371E-01 a       128     0     7     1     8
 -3.9130278508876237E-02 a       129     0     7     1     9
  1.3012518547483681E-01 a       130     0     7     1    10
 -4.0731379802015050E-01 a       131     0     7     1    11
  1.5402330991610608E-01 a       132     0     7     1    12
  4.5210926375823485E-01 a       133     0     7     1    13
 -5.4107089832859645E-01 a       134     0     7     1    14
 -4.6401273520580577E-01 a       135     0     7     1    15
  8.9421343029525779E-01 a       136     0     7     1    16
  9.6729839281264562E-01 a       137     0     7     1    17
 -8.7100537681764637E-02 a       138     0     7     1    18
 -6.6782985398022479E-02 a       139     0     7     1    19
 -1.2000471766200796E-01 a       140     0     7     1    20
  6.5596458269691926E-01 a       141     0     8     1     1
  5.4018479582379197E-01 a       142     0     8     1     2
 -2.0910277933069449E-01 a       143     0     8     1     3
  4.5861622886874731E-01 a       144     0     8     1     4
 -1.9850435904553401E-01 a       145     0     8     1     5
