################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.6677563297337320E-01 a         1     0     1     1     1
  2.5091188666608349E-01 a         2     0     1     1     2
  1.5429292727945360E-01 a         3     0     1     1     3
  8.2068179593778517E-02 a         4     0     1     1     4
  1.3716978401975974E-01 a         5     0     1     1     5
  8.2169054604951844E-02 a         6     0     1     1     6
  1.3849452573911036E-01 a         7     0     1     1     7
  2.8429381643610838E-02 a         8     0     1     1     8
 -1.0181945009956737E-01 a         9     0     1     1     9
 -5.1391222718353657E-01 a        10     0     1     1    10
 -1.7072276293818401E-02 a        11     0     1     1    11
  1.2815018127640085E-01 a        12     0     1     1    12
  1.6059108634916258E-01 a        13     0     1     1    13
 -4.2127812380954771E-01 a        14     0     1     1    14
 -1.4649436085434370E-02 a        15     0     1     1    15
  2.3219919086157340E-01 a        16     0     1     1    16
 -9.4971506153737673E-02 a        17     0     1     1    17
 -6.4624938980580762E-02 a        18     0     1     1    18
  3.2087239233747955E-01 a        19     0     1     1    19
 -8.0560029416663778E-02 a        20     0     1     1    20
 -9.4665854268806984E-02 a        21     0     2     1     1
  5.1165552672616921E-01 a        22     0     2     1     2
  2.2760003897056758E-01 a        23     0     2     1     3
 -1.6639576959000457E-01 a        24     0     2     1     4
 -8.8668267698781278E-02 a        25     0     2     1     5
  1.0353168527378598E-01 a        26     0     2     1     6
  3.1491146415600824E-01 a        27     0     2     1     7
 -1.7905250870161993E-01 a        28     0     2     1     8
  7.4679027801041672E-02 a        29     0     2     1     9
 -6.7253527838469129E-01 a        30     0     2     1    10
 -2.8312112835009384E-01 a        31     0     2     1    11
  5.0435100727996185E-01 a        32     0     2     1    12
  4.8840943020792282E-03 a        33     0     2     1    13
 -5.1452680413906127E-01 a        34     0     2     1    14
 -3.7838346875403051E-02 a        35     0     2     1    15
  1.5970443725656747E-01 a        36     0     2     1    16
 -3.7102105682820109E-02 a        37     0     2     1    17
 -3.2585990231173367E-01 a        38     0     2     1    18
  2.1166157441143563E-01 a        39     0     2     1    19
 -2.3723743305190961E-02 a        40     0     2     1    20
 -5.9373979547730249E-01 a        41     0     3     1     1
 -7.0112501932716076E-01 a        42     0     3     1     2
  6.8303831097991974E-01 a        43     0     3     1     3
  1.9208636312864763E-01 a        44     0     3     1     4
 -1.4623793568919222E-01 a        45     0     3     1     5
 -4.9557054971868214E-01 a        46     0     3     1     6
  3.4798536359261234E-01 a        47     0     3     1     7
  6.2338091341460133E-01 a        48     0     3     1     8
 -5.5223324154884801E-01 a        49     0     3     1     9
 -8.3316890593251225E-01 a        50     0     3     1    10
  1.0413134670990400E+00 a        51     0     3     1    11
  4.9616160223098960E-01 a        52     0     3     1    12
  4.6504426272341148E-01 a        53     0     3     1    13
 -7.6447873547525946E-01 a        54     0     3     1    14
  2.8528338076751966E-02 a        55     0     3     1    15
  1.6044331107686641E-01 a        56     0     3     1    16
  7.7987693040936834E-01 a        57     0     3     1    17
  8.5577322901142261E-01 a        58     0     3     1    18
  1.2077863477508477E+00 a        59     0     3     1    19
 -1.6275079552322988E-01 a        60     0     3     1    20
  8.5702788337825471E-03 a        61     0     4     1     1
 -1.5968846260175909E-01 a        62     0     4     1     2
 -1.6260979248342999E-01 a        63     0     4     1     3
  2.6359372160129729E-01 a        64     0     4     1     4
 -1.4341841791385820E-01 a        65     0     4     1     5
 -7.4690425184456089E-03 a        66     0     4     1     6
 -1.5892170450758536E-01 a        67     0     4     1     7
  3.0083133525991990E-01 a        68     0     4     1     8
 -2.0633411323432410E-01 a        69     0     4     1     9
  1.1825439272621958E-01 a        70     0     4     1    10
  1.9066367607004567E-01 a        71     0     4     1    11
 -2.1345856957720424E-01 a        72     0     4     1    12
 -1.1019790181078250E-01 a        73     0     4     1    13
  1.1625596947928318E-01 a        74     0     4     1    14
  3.0173812498619379E-01 a        75     0     4     1    15
 -2.1324434875637996E-01 a        76     0     4     1    16
  1.3001586130634377E-01 a        77     0     4     1    17
  1.7323418451387955E-02 a        78     0     4     1    18
  1.3519636154236925E-01 a        79     0     4     1    19
  7.6538104509789040E-02 a        80     0     4     1    20
  6.4923923052254019E-03 a        81     0     5     1     1
 -1.6555044416375042E-01 a        82     0     5     1     2
 -8.4032582433054137E-01 a        83     0     5     1     3
 -1.6952166073773947E-01 a        84     0     5     1     4
 -2.9383907919830787E-01 a        85     0     5     1     5
 -2.4609193943122176E-02 a        86     0     5     1     6
 -7.4005755481287475E-02 a        87     0     5     1     7
 -9.8390580266850797E-02 a        88     0     5     1     8
  1.9037571727637934E-01 a        89     0     5     1     9
 -3.5633842434422258E-01 a        90     0     5     1    10
 -3.6725346951404073E-02 a        91     0     5     1    11
  6.3272772620754883E-02 a        92     0     5     1    12
 -1.9529960593805046E-01 a        93     0     5     1    13
 -3.9144443416260333E-01 a        94     0     5     1    14
  8.4650181342745168E-01 a        95     0     5     1    15
 -1.0690470337350626E-01 a        96     0     5     1    16
  8.7778592793341104E-02 a        97     0     5     1    17
 -4.0160781222006961E-02 a        98     0     5     1    18
  3.5819278750793007E-02 a        99     0     5     1    19
 -4.4824000725828983E-01 a       100     0     5     1    20
 -9.3720706174072702E-02 a       101     0     6     1     1
  4.0434228918482952E-02 a       102     0     6     1     2
 -3.3047055935331038E-01 a       103     0     6     1     3
  3.5644651402702447E-02 a       104     0     6     1     4
 -2.3522039236119741E-01 a       105     0     6     1     5
  1.0119850200124718E-01 a       106     0     6     1     6
 -6.7306657303810552E-02 a       107     0     6     1     7
  1.3772177093574742E-01 a       108     0     6     1     8
 -6.1905247657497706E-02 a       109     0     6     1     9
 -3.1505786851349343E-01 a       110     0     6     1    10
 -3.2897713897314600E-02 a       111     0     6     1    11
  8.4947595537047255E-02 a       112     0     6     1    12
 -9.8167755413059873E-02 a       113     0     6     1    13
 -4.1500992576747281E-01 a       114     0     6     1    14
  4.1869616607538851E-01 a       115     0     6     1    15
 -2.0870228352385059E-01 a       116     0     6     1    16
  1.4247532965537754E-01 a       117     0     6     1    17
 -2.9210603341037111E-01 a       118     0     6     1    18
  3.4252746554765201E-01 a       119     0     6     1    19
 -1.3727124886565142E-01 a       120     0     6     1    20
 -1.8178181734139581E-01 a       121     0     7     1     1
 -3.9928930882445701E-01 a       122     0     7     1     2
 -4.8912373894654820E-01 a       123     0     7     1     3
  2.3200172076676465E-01 a       124     0     7     1     4
 -1.8463796940017052E-01 a       125     0     7     1     5
 -2.4510992817695329E-01 a       126     0     7     1     6
  3.2725506486084288E-01 a       127     0     7     1     7
 -6.2447127362979846E-02 a       128     0     7     1     8
 -1.9291712333685825E-02 a       129     0     7     1     9
 -4.1441645468766963E-01 a       130     0     7     1    10
 -1.2568905640078018E-01 a       131     0     7     1    11
  3.8052325125356828E-01 a       132     0     7     1    12
 -1.9890464165063571E-01 a       133     0     7     1    13
 -1.2333729226242409E+00 a       134     0     7     1    14
 -2.6935724595916422E-01 a       135     0     7     1    15
  2.7818747933347099E-01 a       136     0     7     1    16
 -1.6109503912186837E-02 a       137     0     7     1    17
 -7.5793679244275103E-01 a       138     0     7     1    18
  2.4849379129571503E-01 a       139     0     7     1    19
 -9.2486237614986450E-02 a       140     0     7     1    20
  4.3450247801887515E-01 a       141     0     8     1     1
  3.2354199676677098E-01 a       142     0     8     1     2
 -2.4183078463110790E-02 a       143     0     8     1     3
  6.5254645239757048E-01 a       144     0     8     1     4
  2.7705180027444809E-01 a       145     0     8     1     5
 -1.1086006277645864E-01 a       146     0     8     1     6
  1.4056085189575440E-01 a       147     0     8     1     7
 -1.0087329178344040E-01 a       148     0     8     1     8
 -3.6751174371026452E-03 a       149     0     8     1     9
 -4.3109117303090660E-01 a       150     0     8     1    10
 -7.5944619603597774E-01 a       151     0     8     1    11
 -4.7922562970994183E-02 a       152     0     8     1    12
  1.5443525032943647E-01 a       153     0     8     1    13
 -1.0803282359653577E+00 a       154     0     8     1    14
 -2.0314686864580009E-01 a       155     0     8     1    15
  2.0254999915366709E-02 a       156     0     8     1    16
 -2.3008379379984048E-01 a       157     0     8     1    17
 -8.5316645470239916E-01 a       158     0     8     1    18
  2.0907172896390321E-03 a       159     0     8     1    19
  5.9006361320832597E-02 a       160     0     8     1    20
  5.5882122987498239E-01 a       161     0     9     1     1
  3.8175884794896742E-01 a       162     0     9     1     2
  2.3738003511835637E-02 a       163     0     9     1     3
  6.1172065510590357E-01 a       164     0     9     1     4
  5.1558876772814059E-02 a       165     0     9     1     5
 -1.4233933782318883E-01 a       166     0     9     1     6
  2.9513331604506645E-03 a       167     0     9     1     7
 -1.0103845431895142E-01 a       168     0     9     1     8
  5.5134469961485875E-02 a       169     0     9     1     9
 -4.8264869801977284E-01 a       170     0     9     1    10
 -9.0745013356630144E-01 a       171     0     9     1    11
 -1.3987455882038988E-01 a       172     0     9     1    12
  2.4257630947686937E-01 a       173     0     9     1    13
 -7.3146026154051336E-01 a       174     0     9     1    14
  4.2401172256883041E-01 a       175     0     9     1    15
 -4.9854842679875722E-02 a       176     0     9     1    16
  6.3890661452709940E-02 a       177     0     9     1    17
 -5.3191116271244154E-01 a       178     0     9     1    18
 -1.0147071021084363E-01 a       179     0     9     1    19
 -1.5416400424568144E-01 a       180     0     9     1    20
  3.1954260906334231E-01 a       181     0    10     1     1
 -8.3586938722636922E-02 a       182     0    10     1     2
 -3.4240222342186433E-01 a       183     0    10     1     3
  3.7573111444281682E-01 a       184     0    10     1     4
 -2.7350935979465085E-01 a       185     0    10     1     5
 -1.0167690126736076E-01 a       186     0    10     1     6
 -1.0155840559031373E-01 a       187     0    10     1     7
 -1.1336186183010107E-01 a       188     0    10     1     8
  9.5162529624363099E-02 a       189     0    10     1     9
 -6.5724578680704193E-01 a       190     0    10     1    10
 -3.4493450456236907E-01 a       191     0    10     1    11
 -3.2771109108781005E-02 a       192     0    10     1    12
  2.0965082614687458E-01 a       193     0    10     1    13
 -3.7376783947958409E-01 a       194     0    10     1    14
  1.2549955752144655E+00 a       195     0    10     1    15
  1.3377607533829103E-01 a       196     0    10     1    16
  2.7242357259048033E-01 a       197     0    10     1    17
  3.5910259107632647E-01 a       198     0    10     1    18
 -2.1048509251066702E-01 a       199     0    10     1    19
 -3.6461178738799166E-01 a       200     0    10     1    20
 -2.4565542850123440E-01 a       201     0    11     1     1
 -5.9018430841835168E-01 a       202     0    11     1     2
 -5.8347013589575414E-01 a       203     0    11     1     3
  5.0581271855622845E-01 a       204     0    11     1     4
 -3.8429483057789482E-02 a       205     0    11     1     5
  1.0641773852418443E-01 a       206     0    11     1     6
  8.9490426401105350E-01 a       207     0    11     1     7
 -4.9119043050823874E-01 a       208     0    11     1     8
 -3.8298689814050801E-01 a       209     0    11     1     9
  6.6779856960159631E-02 a       210     0    11     1    10
  1.1330396997178158E-01 a       211     0    11     1    11
  1.9741469553401100E-01 a       212     0    11     1    12
  9.1453736739946292E-02 a       213     0    11     1    13
 -4.0179909585136442E-01 a       214     0    11     1    14
  3.2586668880738373E-01 a       215     0    11     1    15
  5.5983613991733872E-01 a       216     0    11     1    16
  7.4109078945040641E-01 a       217     0    11     1    17
 -6.7690238155659155E-01 a       218     0    11     1    18
 -6.5087134012471171E-01 a       219     0    11     1    19
 -2.6314308788992775E-02 a       220     0    11     1    20
 -1.4864726683921592E-01 a       221     0    12     1     1
 -2.2292253528637337E-01 a       222     0    12     1     2
 -5.6684473946499814E-01 a       223     0    12     1     3
 -4.0056953640236909E-01 a       224     0    12     1     4
 -2.2932022515533021E-01 a       225     0    12     1     5
  3.3071193631474499E-01 a       226     0    12     1     6
  9.6762503139641987E-01 a       227     0    12     1     7
 -4.5889880806864930E-01 a       228     0    12     1     8
 -2.7919391570047569E-01 a       229     0    12     1     9
 -6.7882194055419165E-01 a       230     0    12     1    10
 -3.8388322301245215E-01 a       231     0    12     1    11
 -3.8277896148997070E-02 a       232     0    12     1    12
  1.7574865066084897E-02 a       233     0    12     1    13
 -8.5425003557216572E-01 a       234     0    12     1    14
  2.7450818731851213E-02 a       235     0    12     1    15
  2.3124938589311753E-01 a       236     0    12     1    16
  4.2844329832031491E-01 a       237     0    12     1    17
 -9.3617738696100394E-01 a       238     0    12     1    18
 -3.0639898918977587E-01 a       239     0    12     1    19
 -8.6084923894616056E-02 a       240     0    12     1    20
  4.0310141932154886E-01 a       241     0    13     1     1
  1.1304873844056078E+00 a       242     0    13     1     2
  1.3710355964983054E-01 a       243     0    13     1     3
 -7.2252760177804586E-03 a       244     0    13     1     4
  9.0769817114876650E-01 a       245     0    13     1     5
