################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   2.5772856893554319E-01   1.1082741929516208E-03   7.8591954780583544E-03
         1          2   0.0000000000000000E+00   1.8841611202025066E-01   1.3964418531350919E-04   3.5122645824120853E-03
         1          3   0.0000000000000000E+00   2.2093567613105006E-01   1.9131544157244370E-05   1.2790333257117284E-03
         1          4   0.0000000000000000E+00   3.5955730712772588E-01   2.1673642088280355E-02   3.2508390463681272E-02
         1          5   0.0000000000000000E+00   3.5929588979511018E-01   2.5996689310169509E-03   1.2948142631031875E-02
         1          6   0.0000000000000000E+00   2.4864539970870128E-01   3.7187446433503231E-05   1.9777272507283967E-03
         1          7   0.0000000000000000E+00   9.1370552956840267E-01   1.5444986665918758E-01   1.2437621241395309E-01
         1          8   0.0000000000000000E+00   7.4811605665701719E-01   1.4591079651072239E-01   7.2951054361532500E-02
         1          9   0.0000000000000000E+00   6.7333285542477783E-01   1.1201359528405232E-01   6.4614465043590724E-02
         1         10   2.1065196719838351E-21   1.5063379126278071E+00   2.8081032316896953E-01   2.0693259665323069E-01
         1         11   8.6972539370641714E-35   1.1959070131058456E+00   2.0675592641238444E-01   1.4916331218013917E-01
         1         12   6.8849742194674013E-55   9.8648969012214727E-01   1.8312580334830220E-01   8.0136361261278086E-02
         1         13   1.9097564541503356E-84   7.1287053045711446E-01   8.4441609933956122E-02   7.4226435762823936E-02
         1         14   3.8919161034755070E-10   3.0650126879270458E+00   8.6459973544363478E-01   3.8018829666868587E-01
         1         15   9.2619930581806134E-02   9.2276494710527446E-01   5.0026552833035909E-01   1.0222809808912736E-01
         1         16   2.7507711080804348E-01   3.2637298177549106E+00   1.7157126342433082E+00   4.8394223125871588E-01
         1         17   2.3897224519634894E-01   3.8350802443816194E+00   1.8427778241253647E+00   4.7119921504734541E-01
         1         18   7.7598723342890599E-02   3.9457798999266807E+00   1.9266684158704539E+00   3.4928933854921845E-01
         1         19   2.4168276766085468E-03   3.8410721116774735E+00   1.8888998927323468E+00   4.0585177214434348E-01
         1         20   8.5273487568006248E-06   3.9679263629032695E+00   1.5063374660128226E+00   4.5547356593015503E-01
         1         21   1.7574037745037652E-01   1.7100102651357916E+00   9.6549664566193683E-01   2.2667214671302074E-01
         1         22   4.3387341020277759E-01   3.9700302256208859E+00   2.2470851469366000E+00   5.1637930981316660E-01
         1         23   6.5305767253395575E-01   6.2415583317020094E+00   3.4336867447687092E+00   7.1594689216971419E-01
         1         24   6.0415621831100041E-01   7.0133587243352240E+00   3.9678034392114561E+00   9.7042278108852953E-01
         1         25   4.9803783790146117E-01   6.9101934078101905E+00   3.5618479950491393E+00   1.0139525297096224E+00
         1         26   2.9824206953046062E-01   6.2489371408587848E+00   3.0073344501294277E+00   6.6064864747953123E-01
         1         27   3.4955303424036785E-02   5.1986278234357650E+00   2.7531307800542555E+00   5.0284415428463913E-01
         1         28   1.9011422727804585E-04   4.7192347742227172E+00   2.2662433090075664E+00   5.6971284644285092E-01
         1         29   1.1191921646494595E-07   4.8264480450080240E+00   1.5192160946916058E+00   5.6166220338080719E-01
         1         30   5.0045919062327138E-14   3.4232384677653016E+00   8.3725204934333353E-01   4.6368098397362406E-01
         1         31   1.9700371500545024E-06   6.8969832554816746E-01   1.4322579504717267E-01   8.9993220776408353E-02
         1         32   2.3033250210999353E-04   1.0600999125841739E+00   2.7237379337093265E-01   1.5315440455682311E-01
         1         33   3.7271975785887314E-03   4.3394225551846519E+00   1.2526144821281313E+00   6.5771513185572172E-01
         1         34   1.1896132844293479E-03   8.4324024016762344E-01   2.3604923037680056E-01   1.2553973143248176E-01
         1         35   0.0000000000000000E+00   3.4847213835397725E-02   3.4557613859336660E-04   6.9502142454173075E-04
         1         36   0.0000000000000000E+00   1.0324751415974484E-01   4.5747665580892919E-03   5.0045269046356455E-03
