################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.2385764008167955E-01 a         1     0     1     1     1
  9.5089329259387206E-02 a         2     0     1     1     2
 -6.0157195097245053E-01 a         3     0     1     1     3
  1.8096221206778801E-01 a         4     0     1     1     4
 -5.9870693704081790E-01 a         5     0     1     1     5
  9.6285884108634909E-02 a         6     0     1     1     6
  3.5781631576755285E-01 a         7     0     1     1     7
  2.0188926367387858E-01 a         8     0     1     1     8
  2.2649134616828132E-02 a         9     0     1     1     9
 -3.4623341687281081E-02 a        10     0     1     1    10
 -1.0037423135265031E-01 a        11     0     1     1    11
 -1.5884884704341160E-02 a        12     0     1     1    12
  1.4113619521773146E-01 a        13     0     1     1    13
  8.7378808234857136E-02 a        14     0     1     1    14
 -2.7454919786493170E-01 a        15     0     1     1    15
  3.8445586648598473E-01 a        16     0     1     1    16
  2.7533801962308879E-01 a        17     0     1     1    17
 -2.5617893288767596E-01 a        18     0     1     1    18
  3.5386171432348817E-01 a        19     0     1     1    19
  4.5574158465506207E-02 a        20     0     1     1    20
  3.4090302516454779E-01 a        21     0     2     1     1
 -4.5404106171773034E-01 a        22     0     2     1     2
 -3.4560673247720983E-02 a        23     0     2     1     3
  3.6159760768145066E-01 a        24     0     2     1     4
  1.4381294466443201E-01 a        25     0     2     1     5
 -3.4373059683198959E-01 a        26     0     2     1     6
  1.2635238302131294E-01 a        27     0     2     1     7
  3.4273414979209466E-01 a        28     0     2     1     8
 -1.0872744003908032E-01 a        29     0     2     1     9
 -1.6399177404880078E-01 a        30     0     2     1    10
 -5.7434883122705693E-01 a        31     0     2     1    11
  1.3795535114255261E-01 a        32     0     2     1    12
 -3.9033827422782430E-01 a        33     0     2     1    13
 -2.0570415670528053E-01 a        34     0     2     1    14
  4.0090266266763092E-01 a        35     0     2     1    15
  8.7256153013603330E-02 a        36     0     2     1    16
 -4.3450761900348675E-02 a        37     0     2     1    17
  4.1128835119944324E-01 a        38     0     2     1    18
  3.8105480667629960E-01 a        39     0     2     1    19
 -1.6336458667094814E-01 a        40     0     2     1    20
  3.6237303205705740E-01 a        41     0     3     1     1
 -2.0840286595923305E+00 a        42     0     3     1     2
  1.1179695883977707E+00 a        43     0     3     1     3
  2.5945493387374335E-01 a        44     0     3     1     4
  6.0106694809644967E-01 a        45     0     3     1     5
 -2.8753442842226803E-02 a        46     0     3     1     6
 -1.9005579676736935E-02 a        47     0     3     1     7
