################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.9688498708365843E-08   1.3330328347640785E-01   5.4998280645225155E-02   2.0086568970400343E-02
         1          2   4.2177692108572335E-12   5.9791164704632260E-01   1.2806660862764108E-01   8.0155943277853997E-02
         1          3   2.4006957430383080E-65   3.3266149222590420E-03   1.1712781675202007E-07   7.9542144304493595E-06
         1          4   1.2564647086839161E-31   4.8307648588561219E-01   1.1029073138853877E-01   6.2736854541097120E-02
         1          5  1.5343574577738687E-115   7.9056640262152713E-05   5.4644420611086442E-10   1.3946830094991827E-07
         1          6   1.1582598937358718E-49   4.5879414672651553E-01   1.0084047086884232E-01   7.0590695212115098E-02
         1          7   2.6243305011726404E-76   4.3664522670068168E-01   4.5750349887353332E-02   6.3985826626755990E-02
         1          8  6.0885324958352034E-115   2.5510231665877098E-01   8.4757964241114880E-03   2.8705152662688953E-02
         1          9  3.1610999017030293E-170   2.7613835473954951E-01   8.6775063574762135E-04   9.7105477357799265E-03
         1         10   1.0619647239577898E-05   2.7105391098046705E-01   7.4433265490396902E-02   2.8824205467546091E-02
         1         11   4.0940839848928236E-03   1.8057818459141725E-01   9.9674474833791507E-02   2.3247323461075935E-02
         1         12   2.9613706678806619E-03   4.8079378238366405E-01   2.4970011393498226E-01   6.8765619361559782E-02
         1         13   3.6158396681069808E-06   1.0638969058930783E+00   3.8428959410525970E-01   1.6327033760248277E-01
         1         14   7.0418274644441424E-08   1.1333669297371769E+00   2.8793526669825931E-01   1.5238582990498378E-01
         1         15   7.8087669296307599E-14   9.5101691346412864E-01   1.8564667550754083E-01   1.3003747929143317E-01
         1         16   1.8192411743857230E-23   7.9407558697546188E-01   1.4754058555244570E-01   1.0290362096247503E-01
         1         17   3.0408655309821999E-38   6.4809648344150883E-01   1.4554660348076948E-01   8.0316346312501577E-02
         1         18   2.5199650392461007E-60   4.9720194014049290E-01   9.4015431074584530E-02   9.0420300772976497E-02
         1         19   1.2998459489798217E-92   4.4241779830515082E-01   2.6063026117733909E-02   5.4307924848541335E-02
         1         20  5.4428167499079272E-139   2.9876860862589244E-01   3.2415043225280235E-03   1.9246844177113764E-02
         1         21  5.4806649122035181E-205   3.1854018385747229E-01   3.0044916336584320E-04   6.1521017359889895E-03
         1         22  4.5815619361507372E-298   3.3010570490069463E-01   2.6171098544772173E-05   1.8263239832214740E-03
         1         23   2.1228091075623436E-02   2.7668404515157285E-01   1.5388913056327114E-01   3.5590321050295949E-02
         1         24   4.7420000309323106E-02   6.6794069997786876E-01   3.7307873751944803E-01   7.9117560440823451E-02
         1         25   2.5687619638859367E-02   1.1063471158412221E+00   6.2017214795683995E-01   1.4850999864919304E-01
         1         26   1.7807871504639606E-03   1.6153988129426777E+00   7.5284634519930360E-01   2.3478967486771612E-01
         1         27   4.1200167021593989E-05   1.6829433251595407E+00   6.7208458760168943E-01   2.6651971433146909E-01
         1         28   5.5414298207484993E-08   1.6838422923800382E+00   4.6370699303877078E-01   2.2914196247012980E-01
         1         29   1.6468733997760233E-20   1.0198285146706478E+00   1.8447444065725305E-01   1.3694357711875937E-01
         1         30   4.8761922507899182E-34   7.2458393332769944E-01   1.7341382727776028E-01   9.4399370637167884E-02
         1         31   2.7077133871523426E-54   5.6622178244654564E-01   1.2609784620080222E-01   1.0338405515978598E-01
         1         32   4.5146112798405390E-84   5.3166110181972615E-01   4.1893832731881020E-02   7.1936770039491685E-02
         1         33  4.7226435674078945E-127   3.1863994052618466E-01   5.8504470108667588E-03   2.6699477951704562E-02
         1         34  3.1785987806447766E-188   3.3573880705879922E-01   5.4352182346179229E-04   8.5147987208488481E-03
         1         35  1.4587091537583024E-274   3.4857616994787727E-01   4.8150199571951661E-05   2.5388889683544994E-03
         1         36   0.0000000000000000E+00   1.3555347119400549E-03   3.6211538476777476E-06   1.4778346761596520E-05
         1         37   0.0000000000000000E+00   1.4083579466269130E-03   3.1730017797005334E-05   3.5810728236193283E-05
         1         38   0.0000000000000000E+00   7.2139591916777282E-04   5.0485924317818516E-06   1.0003989155239698E-05
         1         39   0.0000000000000000E+00   3.8938142961171009E-04   5.4085881889493847E-07   2.9894415956025322E-06
