################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.4964536372734727E-01 a         1     0     1     1     1
  3.7142446807404400E-01 a         2     0     1     1     2
 -1.2789908000753950E-01 a         3     0     1     1     3
  6.5490083794439691E-01 a         4     0     1     1     4
 -4.4892177213965556E-01 a         5     0     1     1     5
 -4.8011619715422083E-01 a         6     0     1     1     6
 -1.3082409770871711E-01 a         7     0     1     1     7
 -3.1242348333139891E-01 a         8     0     1     1     8
  7.2812946000037215E-01 a         9     0     1     1     9
  2.4252686040046340E-01 a        10     0     1     1    10
  5.6143956721315347E-01 a        11     0     1     1    11
 -3.7770632583667840E-01 a        12     0     1     1    12
 -7.2772361580472378E-01 a        13     0     1     1    13
 -1.0572272975543909E-01 a        14     0     1     1    14
  4.9981299276122809E-01 a        15     0     1     1    15
  3.8558159081397486E-01 a        16     0     1     1    16
 -7.8979264042254604E-01 a        17     0     1     1    17
  7.8184433743330906E-01 a        18     0     1     1    18
  7.2701616387921630E-01 a        19     0     1     1    19
  2.2076847685679690E-01 a        20     0     1     1    20
 -3.5640909079497150E-02 a        21     0     2     1     1
 -5.6275143601934564E-04 a        22     0     2     1     2
  8.9221883731069984E-02 a        23     0     2     1     3
 -3.5796221539127054E-01 a        24     0     2     1     4
  1.3459898834936998E-01 a        25     0     2     1     5
  1.8857455445776500E-01 a        26     0     2     1     6
  2.7584246847962479E-01 a        27     0     2     1     7
 -1.8045291930372593E-02 a        28     0     2     1     8
 -3.0265722290584557E-01 a        29     0     2     1     9
 -3.4597139276219741E-01 a        30     0     2     1    10
  2.0338886449819477E-01 a        31     0     2     1    11
  1.3190870292985886E+00 a        32     0     2     1    12
 -3.3368179019724463E-02 a        33     0     2     1    13
